[description:"implement flag opts for load-colors.sh" entry:"1540746160" modified:"1540746160" status:"pending" tags:"arch" uuid:"b132107a-49cb-44ac-bb8b-04698b515f4b"]
[description:"practice rust" entry:"1550997162" modified:"1550997162" status:"pending" tags:"dev" uuid:"10c12720-9d24-440f-95b6-941c648cb4ef"]
[description:"figure out irc" entry:"1551417999" modified:"1551417999" status:"pending" uuid:"12b4cc85-fc1d-4151-8774-e0ce16454dda"]
[description:"practice C" entry:"1551418002" modified:"1551418002" status:"pending" uuid:"bcd108aa-1f5e-4d72-b2b7-0d66000c5d36"]
